fdcId,description,dataType,calories,protein_g,carbs_g,fat_g,fiber_g,sugar_g
2707734,"Bagel, wheat, with raisins",Survey (FNDDS),255,9.51,51.93,1.4,4.1,
2707708,"Bagel, whole grain white",Survey (FNDDS),250,10.2,48.89,1.53,4.1,
2707733,"Bagel, whole wheat",Survey (FNDDS),250,10.2,48.89,1.53,4.1,
2707735,"Bagel, whole wheat, with raisins",Survey (FNDDS),255,9.51,51.93,1.4,4.1,
2707686,"Bagel, with fruit other than raisins",Survey (FNDDS),243,9.55,48.36,1.25,1.7,
2707685,"Bagel, with raisins",Survey (FNDDS),268,9.83,55.07,1.21,1.9,
2707390,Baked beans,Survey (FNDDS),105,4.52,21.57,0.89,4.4,
2707392,Baked beans from fast food / restaurant,Survey (FNDDS),116,4.38,23.29,1.35,4.3,
2707410,"Baked beans, reduced sodium",Survey (FNDDS),104,4.77,20.35,0.4,5.5,
2707391,"Baked beans, vegetarian",Survey (FNDDS),94,4.75,21.14,0.37,4.1,
2708044,Baklava,Survey (FNDDS),440,6.58,37.55,29.34,2.5,
2709847,"Bamboo shoots, cooked",Survey (FNDDS),41,1.68,3.13,2.94,1.4,
2709200,Banana chips,Survey (FNDDS),519,2.3,58.4,33.6,7.7,
2709342,Banana nectar,Survey (FNDDS),74,0.26,18.01,0.13,0.6,
2705697,Banana pudding,Survey (FNDDS),160,2.57,28,4.26,0.7,
2705660,Banana split,Survey (FNDDS),199,2.42,32.59,6.88,1,
2709225,"Banana, baked",Survey (FNDDS),161,0.82,32.43,3.21,1.8,
2709224,"Banana, raw",Survey (FNDDS),97,0.74,22.71,0.28,1.7,
2708724,Bao bun,Survey (FNDDS),273,11.17,39.78,7.58,1.2,
2708725,"Bao bun, no meat",Survey (FNDDS),268,6.73,54.27,2.94,3.4,
2706886,"Barbecue beef sandwich, on wheat bun",Survey (FNDDS),240,17.02,23.3,8.52,2,
2706885,"Barbecue beef sandwich, on white bun",Survey (FNDDS),245,16.48,24.86,8.5,0.8,
2706391,"Barbecue beef, no sauce",Survey (FNDDS),252,27.97,0,15.15,0,
2706390,"Barbecue beef, with sauce",Survey (FNDDS),228,19.83,12.23,10.79,0.3,
2706434,Barbecue chicken,Survey (FNDDS),167,19,12.23,4.64,0.3,
2706999,"Barbecue chicken sandwich, on wheat bun",Survey (FNDDS),199,16.47,23.3,4.42,2,
2706998,"Barbecue chicken sandwich, on white bun",Survey (FNDDS),204,15.92,24.86,4.4,0.8,
2706369,"Barbecue meat, NFS",Survey (FNDDS),226,18.14,12.23,11.17,0.3,
