fdcId,description,dataType,calories,protein_g,carbs_g,fat_g,fiber_g
2706925,"Hamburger, from school cafeteria",Survey (FNDDS),243.0,17.8,25.67,7.36,3.0
2706920,"Hamburger, NFS",Survey (FNDDS),288.0,17.51,20.68,14.38,0.7
2706935,"Hamburger, on wheat bun, 1 large patty",Survey (FNDDS),283.0,18.99,15.52,15.66,1.8
2706933,"Hamburger, on wheat bun, 1 medium patty",Survey (FNDDS),281.0,18.18,18.74,14.4,2.2
2706928,"Hamburger, on wheat bun, 1 small patty",Survey (FNDDS),280.0,17.83,20.14,13.86,2.4
2706934,"Hamburger, on white bun, 1 large patty",Survey (FNDDS),289.0,18.43,17.12,15.63,0.6
2706932,"Hamburger, on white bun, 1 medium patty",Survey (FNDDS),288.0,17.51,20.68,14.38,0.7
2706927,"Hamburger, on white bun, 1 small patty",Survey (FNDDS),287.0,17.1,22.22,13.83,0.8
2710621,Hard cider,Survey (FNDDS),56.0,0.0,5.92,0.0,0.0
2710622,Hard seltzer,Survey (FNDDS),24.0,0.07,0.55,0.0,0.0
2706584,"Hash, NS as to type of meat",Survey (FNDDS),164.0,8.73,9.27,10.24,1.1
2710316,Haupia,Survey (FNDDS),274.0,1.98,23.52,20.45,2.0
2708718,"Hayacas, Puerto Rican style",Survey (FNDDS),157.0,5.82,9.37,10.83,1.1
2707502,Hazelnuts,Survey (FNDDS),628.0,14.95,16.7,60.75,9.7
2706180,Head cheese,Survey (FNDDS),157.0,13.83,0.0,10.9,0.0
2706156,Heart,Survey (FNDDS),164.0,28.25,0.15,4.69,0.0
2706164,Hog maws,Survey (FNDDS),250.0,26.53,0.0,15.97,0.0
2707441,Hoisin sauce,Survey (FNDDS),220.0,3.31,44.08,3.39,2.8
2710171,Hollandaise sauce,Survey (FNDDS),546.0,5.4,1.03,57.98,0.0
2709933,"Hominy, cooked",Survey (FNDDS),88.0,1.45,13.8,2.91,2.4
2710281,Honey,Survey (FNDDS),304.0,0.3,82.4,0.0,0.2
2710179,Honey butter,Survey (FNDDS),485.0,0.53,48.5,33.85,0.1
2710086,Honey mustard dip,Survey (FNDDS),275.0,1.77,25.16,18.01,1.0
2710202,Honey mustard dressing,Survey (FNDDS),464.0,0.87,23.33,40.83,0.4
2710233,"Honey mustard dressing, fat free",Survey (FNDDS),169.0,1.07,38.43,1.47,1.2
2710223,"Honey mustard dressing, light",Survey (FNDDS),207.0,0.98,28.26,10.0,0.8
2710603,"Horchata, made with milk",Survey (FNDDS),91.0,1.42,19.65,0.63,0.4
2710602,"Horchata, made with water",Survey (FNDDS),88.0,1.09,20.45,0.13,0.5
2710083,Horseradish,Survey (FNDDS),48.0,1.18,11.29,0.69,3.3
2710174,Horseradish sauce,Survey (FNDDS),503.0,1.09,10.05,50.89,1.0
