calories,protein_g,carbs_g,fat_g,fiber_g
38.0,1.29,3.23,2.63,2.1
16.0,1.32,3.32,0.09,2.2
131.0,1.47,30.73,0.23,0.2
110.0,0.3,18.6,4.4,0.1
77.0,4.0,7.49,3.41,1.8
279.0,2.49,53.57,6.51,0.7
185.0,7.76,36.09,0.6,3.4
376.0,2.41,52.52,17.5,0.9
379.0,2.47,53.07,17.51,1.0
228.0,3.49,31.32,10.66,1.7
374.0,2.49,51.8,17.52,1.1
345.0,3.29,52.25,15.2,1.6
341.0,3.49,51.25,14.98,1.7
355.0,2.79,54.36,14.58,1.2
349.0,3.05,53.13,14.43,1.4
303.0,5.08,43.28,13.24,2.3
368.0,2.5,54.52,15.68,1.3
360.0,3.7,49.94,17.6,2.4
276.0,3.64,45.34,9.16,1.0
410.0,4.87,37.93,29.42,2.4
339.0,2.42,51.9,13.53,0.4
347.0,3.07,52.57,15.06,1.2
352.0,2.84,53.6,14.77,1.0
382.0,6.12,47.52,19.85,2.0
373.0,2.5,51.58,17.51,1.1
355.0,2.79,54.36,14.58,1.2
410.0,2.66,56.41,19.43,0.9
349.0,2.9,52.84,14.95,0.8
345.0,3.06,51.9,14.71,0.7
359.0,2.4,54.95,14.33,0.4
353.0,2.62,53.78,14.16,0.4
310.0,4.36,44.36,12.78,0.6
371.0,2.52,51.08,17.52,0.9
257.0,6.1,58.7,0.3,0.2
252.0,2.4,42.9,8.5,1.4
410.0,4.87,37.93,29.42,2.4
286.0,3.84,30.02,17.03,0.4
324.0,2.9,61.6,9.1,3.7
285.0,3.14,64.54,1.52,0.8
273.0,2.38,39.11,12.18,0.7
353.0,5.0,53.64,13.96,0.6
290.0,5.4,61.0,2.7,0.5
241.0,3.28,33.86,10.36,0.9
270.0,6.39,42.0,8.67,0.3
155.0,19.36,3.83,6.25,0.0
234.0,13.76,14.06,13.22,0.5
389.0,17.59,29.49,22.51,1.3
343.0,14.84,31.31,17.69,1.4
146.0,28.31,1.8,2.78,0.0
384.0,3.1,82.36,5.7,0.0
401.0,0.0,99.6,0.32,0.0
400.0,0.1,94.39,2.28,0.0
371.0,0.1,85.8,3.0,0.0
371.0,0.1,85.8,3.0,0.0
396.0,0.0,98.9,0.0,0.1
394.0,0.0,98.0,0.2,0.0
396.0,0.0,98.9,0.0,0.1
394.0,0.0,98.0,0.2,0.0
318.0,1.8,81.3,0.2,0.1
394.0,0.0,98.3,0.1,0.0
429.0,1.95,86.62,8.26,0.9
394.0,0.05,95.69,1.13,0.0
394.0,0.0,98.6,0.0,0.0
444.0,8.38,72.64,13.34,3.6
486.0,7.57,71.24,18.98,2.5
473.0,0.0,84.66,15.27,0.0
390.0,0.2,87.88,4.12,0.0
157.0,6.31,18.36,6.51,1.1
65.0,0.33,15.64,0.11,0.3
98.0,0.0,10.18,0.08,0.0
216.0,1.21,57.01,0.0,0.0
295.0,1.16,48.47,12.33,0.0
166.0,29.53,0.0,4.38,0.0
40.0,0.95,9.28,0.15,0.8
44.0,0.64,5.39,2.38,1.5
50.0,0.62,5.38,3.1,1.5
47.0,0.63,5.38,2.74,1.5
25.0,0.64,5.54,0.19,1.5
42.0,0.59,5.21,2.33,1.7
49.0,0.57,5.2,3.05,1.7
45.0,0.58,5.21,2.69,1.7
23.0,0.59,5.36,0.14,1.8
50.0,0.98,10.7,0.36,3.2
86.0,0.94,10.15,4.67,3.1
69.0,0.96,10.37,2.63,3.1
76.0,0.95,10.36,3.38,3.1
72.0,0.96,10.36,3.0,3.1
50.0,0.98,10.67,0.36,3.2
57.0,0.8,7.68,2.64,3.1
64.0,0.78,7.67,3.36,3.1
61.0,0.79,7.67,3.0,3.1
39.0,0.81,7.9,0.47,3.2
97.0,0.9,17.32,2.78,2.9
72.0,0.96,10.36,3.0,3.1
299.0,2.54,71.22,0.52,3.4
191.0,1.42,39.62,3.03,1.9
26.0,2.0,5.18,0.29,2.1
46.0,1.95,5.02,2.56,2.0
52.0,1.94,5.01,3.31,2.0
49.0,1.94,5.02,2.93,2.0
26.0,1.99,5.16,0.29,2.1
38.0,1.58,3.64,2.4,2.6
45.0,1.56,3.63,3.12,2.6
41.0,1.57,3.64,2.76,2.6
19.0,1.6,3.74,0.22,2.7
